Method,Env,Dim,Scale,Type,Seed,Score
disentangled_infonce,halfcheetah-medium-v2,8,0.5,nonlinear,2,36.30546447416674
disentangled_cov,halfcheetah-medium-v2,8,1.5,nonlinear,1,38.47982472279332
disentangled_cov,halfcheetah-medium-v2,8,1.5,nonlinear,3,37.366124867684
disentangled_cov,halfcheetah-medium-v2,8,1.5,nonlinear,2,37.10543076771326
disentangled_cov,halfcheetah-medium-v2,13,1.0,nonlinear,1,23.671390459573775
disentangled_cov,halfcheetah-medium-v2,13,1.0,nonlinear,3,37.18160117419021
disentangled_cov,halfcheetah-medium-v2,13,1.0,nonlinear,2,35.1839137856588
disentangled_cov,halfcheetah-medium-v2,8,1.0,nonlinear,1,36.50276698982752
disentangled_cov,halfcheetah-medium-v2,8,1.0,nonlinear,3,37.55716771843556
disentangled_cov,halfcheetah-medium-v2,8,1.0,nonlinear,2,38.2504280444286
disentangled_cov,halfcheetah-medium-v2,4,1.5,nonlinear,1,37.397221160477585
disentangled_cov,halfcheetah-medium-v2,4,1.5,nonlinear,3,34.772645404876435
disentangled_cov,halfcheetah-medium-v2,4,1.5,nonlinear,2,38.0848948073207
disentangled_cov,halfcheetah-medium-v2,17,0.5,nonlinear,1,39.3541095808058
disentangled_cov,halfcheetah-medium-v2,17,0.5,nonlinear,3,37.26729958582952
disentangled_cov,halfcheetah-medium-v2,17,0.5,nonlinear,2,39.64879689389751
disentangled_cov,halfcheetah-medium-v2,8,2.0,nonlinear,1,36.36038351789584
disentangled_cov,halfcheetah-medium-v2,8,2.0,nonlinear,3,31.81561310390812
disentangled_cov,halfcheetah-medium-v2,8,2.0,nonlinear,2,31.237138297625872
disentangled_cov,halfcheetah-medium-v2,17,1.0,nonlinear,1,34.59460063532844
disentangled_cov,halfcheetah-medium-v2,17,1.0,nonlinear,3,35.248040778697906
disentangled_cov,halfcheetah-medium-v2,17,1.0,nonlinear,2,35.50280806149449
disentangled_cov,halfcheetah-medium-v2,13,1.5,nonlinear,1,35.45706005448179
disentangled_cov,halfcheetah-medium-v2,13,1.5,nonlinear,3,34.923487258694905
disentangled_cov,halfcheetah-medium-v2,13,1.5,nonlinear,2,30.33989999162469
disentangled_cov,halfcheetah-medium-v2,13,0.5,nonlinear,1,39.13687518606796
disentangled_cov,halfcheetah-medium-v2,13,0.5,nonlinear,3,39.627775809105465
disentangled_cov,halfcheetah-medium-v2,13,0.5,nonlinear,2,36.64494028895413
disentangled_cov,halfcheetah-medium-v2,4,2.0,nonlinear,1,36.72284012358584
disentangled_cov,halfcheetah-medium-v2,4,2.0,nonlinear,3,37.22798988657989
disentangled_cov,halfcheetah-medium-v2,4,2.0,nonlinear,2,36.956774461140704
disentangled_cov,halfcheetah-medium-v2,4,0.5,nonlinear,1,38.93393343369308
disentangled_cov,halfcheetah-medium-v2,4,0.5,nonlinear,3,36.8555023670944
disentangled_cov,halfcheetah-medium-v2,4,0.5,nonlinear,2,38.310183062873946
disentangled_cov,halfcheetah-medium-v2,17,1.5,nonlinear,1,26.04758260594226
disentangled_cov,halfcheetah-medium-v2,17,1.5,nonlinear,3,30.414315696067227
disentangled_cov,halfcheetah-medium-v2,17,1.5,nonlinear,2,29.140992887895123
disentangled_cov,halfcheetah-medium-v2,17,2.0,nonlinear,1,15.841607072272321
disentangled_cov,halfcheetah-medium-v2,17,2.0,nonlinear,3,14.167489352614279
