Method,Env,Dim,Scale,Type,Seed,Score
plain,halfcheetah-medium-v2,13,0.5,nonlinear,1,38.78041416859099
plain,halfcheetah-medium-v2,13,0.5,nonlinear,3,38.81305941121158
plain,halfcheetah-medium-v2,13,0.5,nonlinear,2,38.32411589055017
plain,halfcheetah-medium-v2,4,2.0,nonlinear,1,33.85173618393304
plain,halfcheetah-medium-v2,4,2.0,nonlinear,3,31.840116442273107
plain,halfcheetah-medium-v2,4,2.0,nonlinear,2,31.15673115245206
plain,halfcheetah-medium-v2,4,0.5,nonlinear,1,38.884814016753246
plain,halfcheetah-medium-v2,4,0.5,nonlinear,3,38.560929551527266
plain,halfcheetah-medium-v2,4,0.5,nonlinear,2,37.81521373799941
plain,halfcheetah-medium-v2,17,1.5,nonlinear,1,24.878719241126838
plain,halfcheetah-medium-v2,17,1.5,nonlinear,3,23.734358155784474
plain,halfcheetah-medium-v2,17,1.5,nonlinear,2,32.01782934391751
plain,halfcheetah-medium-v2,17,2.0,nonlinear,1,16.20262285967802
plain,halfcheetah-medium-v2,17,2.0,nonlinear,3,11.771580527373933
plain,halfcheetah-medium-v2,17,2.0,nonlinear,2,16.29928301021423
plain,halfcheetah-medium-v2,13,2.0,nonlinear,1,21.83600478715551
plain,halfcheetah-medium-v2,13,2.0,nonlinear,3,21.957105358804935
plain,halfcheetah-medium-v2,13,2.0,nonlinear,2,19.69347634800965
plain,halfcheetah-medium-v2,4,1.0,nonlinear,1,37.94486132412968
plain,halfcheetah-medium-v2,4,1.0,nonlinear,3,38.53905804194071
plain,halfcheetah-medium-v2,4,1.0,nonlinear,2,37.451679725800254
plain,halfcheetah-medium-v2,8,0.5,nonlinear,1,35.81939527221351
plain,halfcheetah-medium-v2,8,0.5,nonlinear,3,37.07371013918225
plain,halfcheetah-medium-v2,8,0.5,nonlinear,2,38.126672735687976
raw_noisy,halfcheetah-medium-v2,8,1.5,nonlinear,1,31.91395240490827
raw_noisy,halfcheetah-medium-v2,8,1.5,nonlinear,3,31.46349229600109
raw_noisy,halfcheetah-medium-v2,8,1.5,nonlinear,2,27.434454137192503
raw_noisy,halfcheetah-medium-v2,13,1.0,nonlinear,1,33.86333962799591
raw_noisy,halfcheetah-medium-v2,13,1.0,nonlinear,3,33.7343141549704
raw_noisy,halfcheetah-medium-v2,13,1.0,nonlinear,2,33.363099878935465
raw_noisy,halfcheetah-medium-v2,8,1.0,nonlinear,1,34.119829583242286
raw_noisy,halfcheetah-medium-v2,8,1.0,nonlinear,3,36.122629569560075
raw_noisy,halfcheetah-medium-v2,8,1.0,nonlinear,2,31.266277971571395
raw_noisy,halfcheetah-medium-v2,4,1.5,nonlinear,1,33.68123166640941
raw_noisy,halfcheetah-medium-v2,4,1.5,nonlinear,3,34.16496634693437
raw_noisy,halfcheetah-medium-v2,4,1.5,nonlinear,2,35.22729871876164
raw_noisy,halfcheetah-medium-v2,17,0.5,nonlinear,1,37.06525824567242
raw_noisy,halfcheetah-medium-v2,17,0.5,nonlinear,3,37.596586961154216
raw_noisy,halfcheetah-medium-v2,17,0.5,nonlinear,2,37.27184608696982
raw_noisy,halfcheetah-medium-v2,8,2.0,nonlinear,1,24.90933788031313
raw_noisy,halfcheetah-medium-v2,8,2.0,nonlinear,3,19.03807461796611
