Method,Env,Dim,Scale,Type,mean,std,n
pca,halfcheetah-medium-v2,8,2.0,nonlinear,4.150403180389449,,1
pca,halfcheetah-medium-v2,13,0.5,nonlinear,24.11057757555231,,1
pca,halfcheetah-medium-v2,13,1.0,nonlinear,0.9376422693193994,,1
pca,halfcheetah-medium-v2,13,1.5,nonlinear,2.1036233689246213,,1
pca,halfcheetah-medium-v2,13,2.0,nonlinear,2.643628692317449,,1
pca,halfcheetah-medium-v2,17,0.5,nonlinear,23.113926601577973,,1
pca,halfcheetah-medium-v2,17,1.0,nonlinear,1.7180967747150044,,1
pca,halfcheetah-medium-v2,17,1.5,nonlinear,1.6074065498259824,,1
pca,halfcheetah-medium-v2,17,2.0,nonlinear,1.628944833859772,,1
plain,halfcheetah-medium-v2,4,0.5,nonlinear,38.884814016753246,,1
plain,halfcheetah-medium-v2,4,1.0,nonlinear,37.94486132412968,,1
plain,halfcheetah-medium-v2,4,1.5,nonlinear,36.159671897252046,,1
plain,halfcheetah-medium-v2,4,2.0,nonlinear,33.85173618393304,,1
plain,halfcheetah-medium-v2,8,0.5,nonlinear,35.81939527221351,,1
plain,halfcheetah-medium-v2,8,1.0,nonlinear,38.03805456158006,,1
plain,halfcheetah-medium-v2,8,1.5,nonlinear,34.86196092812931,,1
plain,halfcheetah-medium-v2,8,2.0,nonlinear,29.833760543910838,,1
plain,halfcheetah-medium-v2,13,0.5,nonlinear,38.78041416859099,,1
plain,halfcheetah-medium-v2,13,1.0,nonlinear,38.17505201515943,,1
plain,halfcheetah-medium-v2,13,1.5,nonlinear,34.01774680112048,,1
plain,halfcheetah-medium-v2,13,2.0,nonlinear,21.83600478715551,,1
plain,halfcheetah-medium-v2,17,0.5,nonlinear,36.845119938248565,,1
plain,halfcheetah-medium-v2,17,1.0,nonlinear,34.249098155981294,,1
plain,halfcheetah-medium-v2,17,1.5,nonlinear,24.878719241126838,,1
plain,halfcheetah-medium-v2,17,2.0,nonlinear,16.20262285967802,,1
raw_noisy_riql,halfcheetah-medium-v2,4,0.5,nonlinear,36.0956395285126,,1
raw_noisy_riql,halfcheetah-medium-v2,4,1.0,nonlinear,34.113806226456404,,1
raw_noisy_riql,halfcheetah-medium-v2,4,1.5,nonlinear,28.379986711008197,,1
raw_noisy_riql,halfcheetah-medium-v2,4,2.0,nonlinear,24.800484738619787,,1
raw_noisy_riql,halfcheetah-medium-v2,8,0.5,nonlinear,36.11911454252507,,1
raw_noisy_riql,halfcheetah-medium-v2,8,1.0,nonlinear,33.35761154264417,,1
raw_noisy_riql,halfcheetah-medium-v2,8,1.5,nonlinear,27.57872862976588,,1
raw_noisy_riql,halfcheetah-medium-v2,8,2.0,nonlinear,26.89884366960902,,1
raw_noisy_riql,halfcheetah-medium-v2,13,0.5,nonlinear,36.74849570217166,,1
raw_noisy_riql,halfcheetah-medium-v2,13,1.0,nonlinear,28.944279199961148,,1
raw_noisy_riql,halfcheetah-medium-v2,13,1.5,nonlinear,26.144190899103094,,1
raw_noisy_riql,halfcheetah-medium-v2,13,2.0,nonlinear,15.55366788221561,,1
raw_noisy_riql,halfcheetah-medium-v2,17,0.5,nonlinear,37.96354656702607,,1
raw_noisy_riql,halfcheetah-medium-v2,17,1.0,nonlinear,30.358180426929625,,1
raw_noisy_riql,halfcheetah-medium-v2,17,1.5,nonlinear,21.346316843098815,,1
raw_noisy_riql,halfcheetah-medium-v2,17,2.0,nonlinear,14.056385727976908,,1
