Method,Env,Dim,Scale,Type,mean,std,n
disentangled_hsic,halfcheetah-medium-v2,17,0.5,nonlinear,38.02977627761284,1.3230899458625076,3
disentangled_hsic,halfcheetah-medium-v2,17,1.0,nonlinear,37.02783329340007,0.8432934578857579,3
disentangled_hsic,halfcheetah-medium-v2,17,1.5,nonlinear,29.735865818278185,3.9497970311857524,3
disentangled_hsic,halfcheetah-medium-v2,17,2.0,nonlinear,18.779182962360625,3.10719767874838,3
pca,halfcheetah-medium-v2,4,0.5,nonlinear,26.350777039182713,0.8571504699532454,3
pca,halfcheetah-medium-v2,4,1.0,nonlinear,22.12168962455111,3.4988101520775796,3
pca,halfcheetah-medium-v2,4,1.5,nonlinear,13.561076701594978,4.663668468276188,3
pca,halfcheetah-medium-v2,4,2.0,nonlinear,10.087391166977179,1.5339779600692542,3
pca,halfcheetah-medium-v2,8,0.5,nonlinear,23.662891271917047,3.040886312190726,3
pca,halfcheetah-medium-v2,8,1.0,nonlinear,3.5527313115328965,2.262008958770795,3
pca,halfcheetah-medium-v2,8,1.5,nonlinear,2.1078679175514585,1.4572505911218632,3
pca,halfcheetah-medium-v2,8,2.0,nonlinear,2.3736133573092633,1.5387630594453632,3
pca,halfcheetah-medium-v2,13,0.5,nonlinear,21.106844671635198,2.601519178394624,3
pca,halfcheetah-medium-v2,13,1.0,nonlinear,1.0837177980549682,0.20136275135850515,3
pca,halfcheetah-medium-v2,13,1.5,nonlinear,2.0271308818022757,0.20168940732278576,3
pca,halfcheetah-medium-v2,13,2.0,nonlinear,1.7467600042497569,0.7825107971140371,3
pca,halfcheetah-medium-v2,17,0.5,nonlinear,20.39225557901415,3.2285007881228123,3
pca,halfcheetah-medium-v2,17,1.0,nonlinear,1.7420224815495586,0.051051198696684216,3
pca,halfcheetah-medium-v2,17,1.5,nonlinear,1.574879027302357,0.11489855658023272,3
pca,halfcheetah-medium-v2,17,2.0,nonlinear,1.8016338009517225,0.38012756544804743,3
plain,halfcheetah-medium-v2,4,0.5,nonlinear,38.42031910209331,0.5484885258098694,3
plain,halfcheetah-medium-v2,4,1.0,nonlinear,37.978533030623545,0.5444706038591732,3
plain,halfcheetah-medium-v2,4,1.5,nonlinear,36.31159654703681,0.1815017028016473,3
plain,halfcheetah-medium-v2,4,2.0,nonlinear,32.28286125955274,1.4009925980703604,3
plain,halfcheetah-medium-v2,8,0.5,nonlinear,37.00659271569458,1.1551021101036938,3
plain,halfcheetah-medium-v2,8,1.0,nonlinear,37.148613124189154,1.3436246610792388,3
plain,halfcheetah-medium-v2,8,1.5,nonlinear,33.50345360916094,1.1973120558420922,3
plain,halfcheetah-medium-v2,8,2.0,nonlinear,28.90471783876738,0.8962654620201467,3
plain,halfcheetah-medium-v2,13,0.5,nonlinear,38.63919649011758,0.27335556722748605,3
plain,halfcheetah-medium-v2,13,1.0,nonlinear,37.72423233226299,0.46598144114198153,3
plain,halfcheetah-medium-v2,13,1.5,nonlinear,33.08331663922778,0.8162155170288755,3
plain,halfcheetah-medium-v2,13,2.0,nonlinear,21.16219549799003,1.2733885083715701,3
plain,halfcheetah-medium-v2,17,0.5,nonlinear,37.452888375941505,0.6116380351978117,3
plain,halfcheetah-medium-v2,17,1.0,nonlinear,35.08767974706107,2.2755502091610516,3
plain,halfcheetah-medium-v2,17,1.5,nonlinear,26.876968913609605,4.488733122646153,3
plain,halfcheetah-medium-v2,17,2.0,nonlinear,14.757828799088728,2.5866184201414626,3
raw_noisy_riql,halfcheetah-medium-v2,4,0.5,nonlinear,34.286044212402665,2.8142382242320356,3
raw_noisy_riql,halfcheetah-medium-v2,4,1.0,nonlinear,31.890426054031384,3.806794999102592,3
raw_noisy_riql,halfcheetah-medium-v2,4,1.5,nonlinear,30.00688782944492,2.7784526577504116,3
raw_noisy_riql,halfcheetah-medium-v2,4,2.0,nonlinear,26.709710496478603,2.0186580653952486,3
raw_noisy_riql,halfcheetah-medium-v2,8,0.5,nonlinear,35.11219395837989,1.6974293149486195,3
raw_noisy_riql,halfcheetah-medium-v2,8,1.0,nonlinear,31.4420858625456,1.6591963846112783,3
raw_noisy_riql,halfcheetah-medium-v2,8,1.5,nonlinear,28.094733506257928,0.7413787984997872,3
raw_noisy_riql,halfcheetah-medium-v2,8,2.0,nonlinear,24.504054721776196,2.080270582233473,3
raw_noisy_riql,halfcheetah-medium-v2,13,0.5,nonlinear,35.16630278611993,2.542996858230968,3
raw_noisy_riql,halfcheetah-medium-v2,13,1.0,nonlinear,29.039471034007047,1.0911458619092287,3
raw_noisy_riql,halfcheetah-medium-v2,13,1.5,nonlinear,24.7634850430802,1.5196166970060778,3
raw_noisy_riql,halfcheetah-medium-v2,13,2.0,nonlinear,16.64164624192041,1.4672607210579913,3
raw_noisy_riql,halfcheetah-medium-v2,17,0.5,nonlinear,36.92902014156534,1.306506265672103,3
raw_noisy_riql,halfcheetah-medium-v2,17,1.0,nonlinear,28.383369505763255,3.6536291244215087,3
raw_noisy_riql,halfcheetah-medium-v2,17,1.5,nonlinear,19.594495600858185,1.992738999490393,3
raw_noisy_riql,halfcheetah-medium-v2,17,2.0,nonlinear,11.423755459311975,2.764635818751512,3
