Method,Env,Dim,Scale,Type,Seed,Score,Source
disentangled_cov,halfcheetah-medium-v2,20,4.0,concat,1,41.15626340309346,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd20_ns4p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,40,1.0,concat,1,40.41034545718986,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd40_ns1p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,40,2.0,concat,1,40.11811082989294,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd40_ns2p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,40,4.0,concat,1,41.18927973393645,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd40_ns4p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,5,1.0,concat,1,40.28820620676725,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd5_ns1p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,5,2.0,concat,1,40.68835084679473,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd5_ns2p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,5,4.0,concat,1,40.46891849352171,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd5_ns4p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,80,1.0,concat,1,40.645911242244445,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd80_ns1p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,80,2.0,concat,1,40.07198427427047,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd80_ns2p0_concat/seed_1/metrics.json
disentangled_cov,halfcheetah-medium-v2,80,4.0,concat,1,40.51669693688913,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_cov/halfcheetah-medium-v2/nd80_ns4p0_concat/seed_1/metrics.json
disentangled_dcor,halfcheetah-medium-v2,10,1.0,concat,1,39.92169182628451,/mnt/d/CSE5100-Deep Reinforcement Learning/robust-offline-rl-disentanglement/results/raw_metrics/disentangled_dcor/halfcheetah-medium-v2/nd10_ns1p0_concat/seed_1/metrics.json
