Method,Env,Dim,Scale,Type,mean,std,n
disentangled_dcor_reward_only,halfcheetah-medium-v2,13,1.5,nonlinear,6.95046266313883,0.9668520820964247,3
disentangled_dcor_reward_only,halfcheetah-medium-v2,13,2.0,nonlinear,6.516252368791739,0.7383206957177331,3
disentangled_dcor_reward_only,halfcheetah-medium-v2,17,0.5,nonlinear,11.565932738787785,2.403410989110721,3
disentangled_dcor_reward_only,halfcheetah-medium-v2,17,1.0,nonlinear,10.804602107472471,3.6675386189571553,3
disentangled_dcor_reward_only,halfcheetah-medium-v2,17,1.5,nonlinear,6.92467779354353,1.9850984071073796,3
disentangled_dcor_reward_only,halfcheetah-medium-v2,17,2.0,nonlinear,5.686075359264706,0.7784252864843523,3
disentangled_hsic,halfcheetah-medium-v2,4,0.5,nonlinear,40.02936775691825,0.390764611621546,3
disentangled_hsic,halfcheetah-medium-v2,4,1.0,nonlinear,39.897159129996325,0.19457521395418997,3
disentangled_hsic,halfcheetah-medium-v2,4,1.5,nonlinear,38.60358835079591,1.613926118770507,3
disentangled_hsic,halfcheetah-medium-v2,4,2.0,nonlinear,36.866321192964584,0.6069871662381675,3
disentangled_hsic,halfcheetah-medium-v2,8,0.5,nonlinear,39.18915293132001,1.0805757074936606,3
disentangled_hsic,halfcheetah-medium-v2,8,1.0,nonlinear,38.876709277723506,1.2119344180161744,3
disentangled_hsic,halfcheetah-medium-v2,8,1.5,nonlinear,37.37134563373235,1.3094110429591135,3
disentangled_hsic,halfcheetah-medium-v2,8,2.0,nonlinear,34.45485752688222,0.7894377430742304,3
disentangled_hsic,halfcheetah-medium-v2,13,0.5,nonlinear,39.40701639235851,0.7912790345419287,3
disentangled_hsic,halfcheetah-medium-v2,13,1.0,nonlinear,36.458372861717116,1.5942566017519153,3
disentangled_hsic,halfcheetah-medium-v2,13,1.5,nonlinear,33.29044389985451,1.8817412536628657,3
disentangled_hsic,halfcheetah-medium-v2,13,2.0,nonlinear,28.683972376762636,1.541789136398361,3
disentangled_hsic,halfcheetah-medium-v2,17,0.5,nonlinear,38.02977627761284,1.3230899458625076,3
disentangled_hsic,halfcheetah-medium-v2,17,1.0,nonlinear,37.02783329340007,0.8432934578857579,3
disentangled_hsic,halfcheetah-medium-v2,17,1.5,nonlinear,29.735865818278185,3.9497970311857524,3
disentangled_hsic,halfcheetah-medium-v2,17,2.0,nonlinear,18.779182962360625,3.10719767874838,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,0.5,nonlinear,24.11010706528492,2.8107357285921193,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.0,nonlinear,19.423892234976798,6.279950858495942,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,1.5,nonlinear,13.398450673660006,3.911243816897524,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,4,2.0,nonlinear,13.55816658443562,7.414271981957706,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,0.5,nonlinear,20.827662883006514,2.692964805995059,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.0,nonlinear,19.521851793761574,2.7990857324627654,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,1.5,nonlinear,14.739746459034698,3.8178739826198873,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,8,2.0,nonlinear,10.960017342721605,1.7675761619228583,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,0.5,nonlinear,24.877904315399576,3.352051033570648,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.0,nonlinear,18.362111790725674,4.785915706286889,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,1.5,nonlinear,12.090109784427673,0.6988729126457992,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,13,2.0,nonlinear,8.764858214855908,1.7176877979066536,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,0.5,nonlinear,25.537074213903335,2.427428718066953,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.0,nonlinear,18.394821568061452,3.2514278879275147,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,1.5,nonlinear,11.479309236991435,1.3781486019681886,3
disentangled_hsic_reward_only,halfcheetah-medium-v2,17,2.0,nonlinear,6.970773193698022,0.3834865112236027,3
plain,halfcheetah-medium-v2,4,0.5,nonlinear,38.42031910209331,0.5484885258098694,3
plain,halfcheetah-medium-v2,4,1.0,nonlinear,37.978533030623545,0.5444706038591732,3
plain,halfcheetah-medium-v2,4,1.5,nonlinear,36.31159654703681,0.1815017028016473,3
