Method,Env,Dim,Scale,Type,mean,std,n
disentangled_dcor_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,43.1139180162146,0.9150623560539446,3
disentangled_dcor_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,40.55838127262498,0.46314359192694093,3
disentangled_dcor_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,37.79159988720995,2.462975129441426,3
disentangled_dcor_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,43.61140730412245,1.2105509278719375,3
disentangled_dcor_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,42.29219881074015,1.2725983132908185,3
disentangled_dcor_td3bc,halfcheetah-medium-v2,17,1.5,nonlinear,39.1736271780556,0.9200596459296984,3
disentangled_dcor_td3bc,halfcheetah-medium-v2,17,2.0,nonlinear,33.45870774060482,1.525904533899931,3
disentangled_hsic,halfcheetah-medium-v2,4,0.5,nonlinear,40.02936775691825,0.390764611621546,3
disentangled_hsic,halfcheetah-medium-v2,4,1.0,nonlinear,39.897159129996325,0.19457521395418997,3
disentangled_hsic,halfcheetah-medium-v2,4,1.5,nonlinear,38.60358835079591,1.613926118770507,3
disentangled_hsic,halfcheetah-medium-v2,4,2.0,nonlinear,36.866321192964584,0.6069871662381675,3
disentangled_hsic,halfcheetah-medium-v2,8,0.5,nonlinear,39.18915293132001,1.0805757074936606,3
disentangled_hsic,halfcheetah-medium-v2,8,1.0,nonlinear,38.876709277723506,1.2119344180161744,3
disentangled_hsic,halfcheetah-medium-v2,8,1.5,nonlinear,37.37134563373235,1.3094110429591135,3
disentangled_hsic,halfcheetah-medium-v2,8,2.0,nonlinear,34.45485752688222,0.7894377430742304,3
disentangled_hsic,halfcheetah-medium-v2,13,0.5,nonlinear,39.40701639235851,0.7912790345419287,3
disentangled_hsic,halfcheetah-medium-v2,13,1.0,nonlinear,36.458372861717116,1.5942566017519153,3
disentangled_hsic,halfcheetah-medium-v2,13,1.5,nonlinear,33.29044389985451,1.8817412536628657,3
disentangled_hsic,halfcheetah-medium-v2,13,2.0,nonlinear,28.683972376762636,1.541789136398361,3
disentangled_hsic,halfcheetah-medium-v2,17,0.5,nonlinear,38.02977627761284,1.3230899458625076,3
disentangled_hsic,halfcheetah-medium-v2,17,1.0,nonlinear,37.02783329340007,0.8432934578857579,3
disentangled_hsic,halfcheetah-medium-v2,17,1.5,nonlinear,29.735865818278185,3.9497970311857524,3
disentangled_hsic,halfcheetah-medium-v2,17,2.0,nonlinear,18.779182962360625,3.10719767874838,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,4,0.5,nonlinear,45.959903530269,0.09063377357426153,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,4,1.0,nonlinear,45.58681938676913,0.46389377183809605,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,4,1.5,nonlinear,44.84000883076123,0.4471783205039217,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,4,2.0,nonlinear,43.078357118534335,0.3783059343270407,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,8,0.5,nonlinear,46.06414260845464,0.24144862186861363,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,8,1.0,nonlinear,45.25538794085522,0.40391147169628117,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,8,1.5,nonlinear,43.69153106164416,0.5013717605879072,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,8,2.0,nonlinear,40.7067210498576,0.9018365186104107,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,13,0.5,nonlinear,45.925173107596116,0.13054799042312382,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,13,1.0,nonlinear,44.01030060670308,0.7022907648361657,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,13,1.5,nonlinear,40.840068220943756,0.6733356910100606,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,13,2.0,nonlinear,37.861987734460655,1.1173428577218498,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,17,0.5,nonlinear,45.31410472400111,0.2129585544351863,3
disentangled_hsic_td3bc,halfcheetah-medium-v2,17,1.0,nonlinear,43.32104392208445,0.5367168424035501,3
