Method,Env,Dim,Scale,Type,Seed,Score,Source
plain,halfcheetah-medium-v2,20,1.0,project,1,40.79382561628896,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,80,1.0,project,1,41.62092893465334,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,40,4.0,project,1,40.48814002598412,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,40,1.0,project,1,40.52227302057946,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,80,2.0,project,1,40.562029127999025,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,20,4.0,project,1,39.69937708410172,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,20,2.0,project,1,40.9128964904818,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,10,1.0,project,1,40.268800065256684,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,40,2.0,project,1,39.53711288929244,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd40_ns2p0_project/seed_1/metrics.json
plain,halfcheetah-medium-v2,10,2.0,project,1,40.61445740681218,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/halfcheetah-medium-v2/nd10_ns2p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,80,4.0,project,1,39.853957105058825,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd80_ns4p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,10,4.0,project,1,40.83664670756645,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd10_ns4p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,40,8.0,project,1,40.27704009647258,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd40_ns8p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,20,1.0,project,1,40.190905084626735,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd20_ns1p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,80,1.0,project,1,38.474778662914304,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd80_ns1p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,40,4.0,project,1,39.857095011152175,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd40_ns4p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,40,1.0,project,1,39.16601280908064,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd40_ns1p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,80,2.0,project,1,39.41369839382612,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd80_ns2p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,20,4.0,project,1,40.60960517901959,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd20_ns4p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,20,2.0,project,1,38.90813100732194,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd20_ns2p0_project/seed_1/metrics.json
raw_noisy,halfcheetah-medium-v2,10,1.0,project,1,38.729672327540484,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/halfcheetah-medium-v2/nd10_ns1p0_project/seed_1/metrics.json
