index,Method,Env,Dim,Scale,Type,mean,std,count,Method Name
61,disentangled_hsic,halfcheetah-medium-v2,17,1.0,nonlinear,37.99339965730289,,1,HSIC
62,disentangled_hsic,halfcheetah-medium-v2,17,1.5,nonlinear,34.04184259755789,,1,HSIC
63,disentangled_hsic,halfcheetah-medium-v2,17,2.0,nonlinear,22.043365054801708,,1,HSIC
64,disentangled_infonce,halfcheetah-medium-v2,4,0.5,nonlinear,39.29122572918822,,1,InfoNCE
65,disentangled_infonce,halfcheetah-medium-v2,4,1.0,nonlinear,37.233458233905075,,1,InfoNCE
66,disentangled_infonce,halfcheetah-medium-v2,4,1.5,nonlinear,37.97881524768259,,1,InfoNCE
67,disentangled_infonce,halfcheetah-medium-v2,4,2.0,nonlinear,36.72632082278885,,1,InfoNCE
68,disentangled_infonce,halfcheetah-medium-v2,8,0.5,nonlinear,36.30546447416674,,1,InfoNCE
69,disentangled_infonce,halfcheetah-medium-v2,8,1.0,nonlinear,36.675284170389205,,1,InfoNCE
70,disentangled_infonce,halfcheetah-medium-v2,8,1.5,nonlinear,36.20843518693235,,1,InfoNCE
71,disentangled_infonce,halfcheetah-medium-v2,8,2.0,nonlinear,32.28252011144419,,1,InfoNCE
72,disentangled_infonce,halfcheetah-medium-v2,13,0.5,nonlinear,37.09800834893394,,1,InfoNCE
73,disentangled_infonce,halfcheetah-medium-v2,13,1.0,nonlinear,36.73514097722121,,1,InfoNCE
74,disentangled_infonce,halfcheetah-medium-v2,13,1.5,nonlinear,27.57837761761647,,1,InfoNCE
75,disentangled_infonce,halfcheetah-medium-v2,13,2.0,nonlinear,24.283498109035815,,1,InfoNCE
76,disentangled_infonce,halfcheetah-medium-v2,17,0.5,nonlinear,37.15943398175391,,1,InfoNCE
77,disentangled_infonce,halfcheetah-medium-v2,17,1.0,nonlinear,35.155028606746875,,1,InfoNCE
78,disentangled_infonce,halfcheetah-medium-v2,17,1.5,nonlinear,29.943696264155584,,1,InfoNCE
79,disentangled_infonce,halfcheetah-medium-v2,17,2.0,nonlinear,17.19456725102058,,1,InfoNCE
80,disentangled_l1,halfcheetah-medium-v2,4,0.5,nonlinear,37.933865035878114,,1,L1
81,disentangled_l1,halfcheetah-medium-v2,4,1.0,nonlinear,36.63141084441423,,1,L1
82,disentangled_l1,halfcheetah-medium-v2,4,1.5,nonlinear,36.704524937570135,,1,L1
83,disentangled_l1,halfcheetah-medium-v2,4,2.0,nonlinear,32.135402266965706,,1,L1
84,disentangled_l1,halfcheetah-medium-v2,8,0.5,nonlinear,37.917738110349134,,1,L1
85,disentangled_l1,halfcheetah-medium-v2,8,1.0,nonlinear,38.329308721551264,,1,L1
86,disentangled_l1,halfcheetah-medium-v2,8,1.5,nonlinear,34.789794893070116,,1,L1
87,disentangled_l1,halfcheetah-medium-v2,8,2.0,nonlinear,27.827964311938803,,1,L1
88,disentangled_l1,halfcheetah-medium-v2,13,0.5,nonlinear,37.5551919758512,,1,L1
89,disentangled_l1,halfcheetah-medium-v2,13,1.0,nonlinear,37.06304216743052,,1,L1
90,disentangled_l1,halfcheetah-medium-v2,13,1.5,nonlinear,32.93840403859882,,1,L1
91,disentangled_l1,halfcheetah-medium-v2,13,2.0,nonlinear,19.428990133121264,,1,L1
92,disentangled_l1,halfcheetah-medium-v2,17,0.5,nonlinear,39.71062197662222,,1,L1
93,disentangled_l1,halfcheetah-medium-v2,17,1.0,nonlinear,32.41904733168184,,1,L1
94,disentangled_l1,halfcheetah-medium-v2,17,1.5,nonlinear,27.172650914533598,,1,L1
95,disentangled_l1,halfcheetah-medium-v2,17,2.0,nonlinear,16.12446988236747,,1,L1
96,plain,halfcheetah-medium-v2,4,0.5,nonlinear,37.81521373799941,,1,Plain Encoder
97,plain,halfcheetah-medium-v2,4,1.0,nonlinear,37.451679725800254,,1,Plain Encoder
98,plain,halfcheetah-medium-v2,4,1.5,nonlinear,36.26253070026085,,1,Plain Encoder
99,plain,halfcheetah-medium-v2,4,2.0,nonlinear,31.15673115245206,,1,Plain Encoder
100,plain,halfcheetah-medium-v2,8,0.5,nonlinear,38.126672735687976,,1,Plain Encoder
101,plain,halfcheetah-medium-v2,8,1.0,nonlinear,37.80480006599448,,1,Plain Encoder
102,plain,halfcheetah-medium-v2,8,1.5,nonlinear,33.046460061475656,,1,Plain Encoder
103,plain,halfcheetah-medium-v2,8,2.0,nonlinear,28.83510345932346,,1,Plain Encoder
104,plain,halfcheetah-medium-v2,13,0.5,nonlinear,38.32411589055017,,1,Plain Encoder
105,plain,halfcheetah-medium-v2,13,1.0,nonlinear,37.24444105748359,,1,Plain Encoder
106,plain,halfcheetah-medium-v2,13,1.5,nonlinear,32.722581484312634,,1,Plain Encoder
107,plain,halfcheetah-medium-v2,13,2.0,nonlinear,19.69347634800965,,1,Plain Encoder
108,plain,halfcheetah-medium-v2,17,0.5,nonlinear,38.06832392396,,1,Plain Encoder
109,plain,halfcheetah-medium-v2,17,1.0,nonlinear,37.66352205850302,,1,Plain Encoder
110,plain,halfcheetah-medium-v2,17,1.5,nonlinear,32.01782934391751,,1,Plain Encoder
111,plain,halfcheetah-medium-v2,17,2.0,nonlinear,16.29928301021423,,1,Plain Encoder
112,raw_noisy,halfcheetah-medium-v2,4,0.5,nonlinear,38.473198548762014,,1,Raw Noisy
113,raw_noisy,halfcheetah-medium-v2,4,1.0,nonlinear,37.36127168933703,,1,Raw Noisy
114,raw_noisy,halfcheetah-medium-v2,4,1.5,nonlinear,35.22729871876164,,1,Raw Noisy
115,raw_noisy,halfcheetah-medium-v2,4,2.0,nonlinear,29.442583362248865,,1,Raw Noisy
116,raw_noisy,halfcheetah-medium-v2,8,0.5,nonlinear,37.1923447528218,,1,Raw Noisy
117,raw_noisy,halfcheetah-medium-v2,8,1.0,nonlinear,31.266277971571395,,1,Raw Noisy
118,raw_noisy,halfcheetah-medium-v2,8,1.5,nonlinear,27.434454137192503,,1,Raw Noisy
119,raw_noisy,halfcheetah-medium-v2,8,2.0,nonlinear,24.444263343294462,,1,Raw Noisy
120,raw_noisy,halfcheetah-medium-v2,13,0.5,nonlinear,37.54704517135325,,1,Raw Noisy
121,raw_noisy,halfcheetah-medium-v2,13,1.0,nonlinear,33.363099878935465,,1,Raw Noisy
122,raw_noisy,halfcheetah-medium-v2,13,1.5,nonlinear,23.56643559445264,,1,Raw Noisy
123,raw_noisy,halfcheetah-medium-v2,13,2.0,nonlinear,16.616186423400407,,1,Raw Noisy
124,raw_noisy,halfcheetah-medium-v2,17,0.5,nonlinear,37.27184608696982,,1,Raw Noisy
125,raw_noisy,halfcheetah-medium-v2,17,1.0,nonlinear,32.94614514160103,,1,Raw Noisy
126,raw_noisy,halfcheetah-medium-v2,17,1.5,nonlinear,26.24992508206451,,1,Raw Noisy
127,raw_noisy,halfcheetah-medium-v2,17,2.0,nonlinear,16.18956126186008,,1,Raw Noisy
