Method,Env,Dim,Scale,Type,Seed,Score
disentangled_cov,halfcheetah-medium-v2,34,2.0,concat,2,40.284939059844774
disentangled_cov,halfcheetah-medium-v2,17,2.0,concat,1,38.84162092690534
disentangled_cov,halfcheetah-medium-v2,17,2.0,concat,3,40.834001655576195
disentangled_cov,halfcheetah-medium-v2,17,2.0,concat,2,40.5609397798672
disentangled_cov,halfcheetah-medium-v2,34,1.0,concat,1,40.038229316295535
disentangled_cov,halfcheetah-medium-v2,34,1.0,concat,3,41.196510268118644
disentangled_cov,halfcheetah-medium-v2,34,1.0,concat,2,40.14831936264231
disentangled_cov,halfcheetah-medium-v2,17,1.0,concat,1,40.624182926006526
disentangled_cov,halfcheetah-medium-v2,17,1.0,concat,3,40.48404006327439
disentangled_cov,halfcheetah-medium-v2,17,1.0,concat,2,40.35200570504156
disentangled_l1,halfcheetah-medium-v2,34,2.0,concat,1,35.11094005604731
disentangled_l1,halfcheetah-medium-v2,34,2.0,concat,3,39.57201877241677
disentangled_l1,halfcheetah-medium-v2,34,2.0,concat,2,30.10215711866812
disentangled_l1,halfcheetah-medium-v2,17,2.0,concat,1,40.82447201786113
disentangled_l1,halfcheetah-medium-v2,17,2.0,concat,3,38.57322582467788
disentangled_l1,halfcheetah-medium-v2,17,2.0,concat,2,40.04488965856405
disentangled_l1,halfcheetah-medium-v2,34,1.0,concat,1,35.40397600292383
disentangled_l1,halfcheetah-medium-v2,34,1.0,concat,3,30.373226473072734
disentangled_l1,halfcheetah-medium-v2,34,1.0,concat,2,36.56952214052788
disentangled_l1,halfcheetah-medium-v2,17,1.0,concat,1,39.83483189389419
disentangled_l1,halfcheetah-medium-v2,17,1.0,concat,3,34.55749981339719
disentangled_l1,halfcheetah-medium-v2,17,1.0,concat,2,38.768826305226746
