Rank,Method,Global Mean (%),Hard Mean (%),Retention (%),Win Rate (%),Composite
1,HSIC,69.3327063574786,37.748568298365235,51.893461410864774,37.5,50.015503093844366
2,dCor,66.79386512306603,39.378611166821905,56.406442220598784,18.75,47.91446188942723
3,Barlow,36.400997121277236,17.89592876547794,57.32943312187753,0.0,28.649760828675955
—,Plain Encoder,68.68116383690133,36.910721071955095,48.637162766224705,25.0,47.000534079499616
—,Raw Noisy,72.917593271911,48.23813361614741,55.31458129178367,56.25,58.25904100558163
