Rank,Method,Global Mean (%),Hard Mean (%),Retention (%),Win Rate (%),Composite
1,dCor,95.47340595219721,91.71269662359882,91.69813687533436,56.25,87.51859297898562
2,Barlow,94.00619039608013,87.52126667483881,90.60900447212963,62.5,86.33110134944354
3,HSIC,92.10131006424967,87.33034727486067,91.60300490728912,50.0,84.01661554693396
—,Plain Encoder,89.59788605094123,81.5832681117763,83.53568070352853,12.5,74.01564579510978
—,Raw Noisy,89.89678863827957,82.13495450148909,91.19519563815376,18.75,76.76780979463581
