Method,Env,Dim,Scale,Type,Seed,Score,Source
plain,hopper-medium-v2,3,2.0,nonlinear,3,37.02115074343679,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd3_ns2p0_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,3,2.0,nonlinear,2,47.38370141259571,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd3_ns2p0_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,6,1.5,nonlinear,1,43.44961697093756,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns1p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,6,1.5,nonlinear,3,41.318296933812995,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns1p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,6,1.5,nonlinear,2,44.52241028163187,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns1p5_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,11,1.5,nonlinear,1,33.133241302282926,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns1p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,11,1.5,nonlinear,3,40.77600914151689,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns1p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,11,1.5,nonlinear,2,44.25738967654886,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns1p5_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,11,2.0,nonlinear,1,33.91795787016158,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns2p0_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,11,2.0,nonlinear,3,34.12605481700414,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns2p0_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,11,2.0,nonlinear,2,33.56941375173194,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd11_ns2p0_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,3,0.5,nonlinear,1,50.34477348106755,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd3_ns0p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,3,0.5,nonlinear,3,43.54525962646972,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd3_ns0p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,3,0.5,nonlinear,2,49.17288930104256,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd3_ns0p5_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,6,0.5,nonlinear,1,49.31087507322886,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns0p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,6,0.5,nonlinear,3,50.48639024958027,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns0p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,6,0.5,nonlinear,2,46.14951932343484,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd6_ns0p5_nonlinear/seed_2/metrics.json
plain,hopper-medium-v2,8,0.5,nonlinear,1,47.40834564099448,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd8_ns0p5_nonlinear/seed_1/metrics.json
plain,hopper-medium-v2,8,0.5,nonlinear,3,44.62775337352723,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd8_ns0p5_nonlinear/seed_3/metrics.json
plain,hopper-medium-v2,8,0.5,nonlinear,2,43.39257556820704,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/plain/hopper-medium-v2/nd8_ns0p5_nonlinear/seed_2/metrics.json
raw_noisy,hopper-medium-v2,11,0.5,nonlinear,1,44.632488177660136,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/hopper-medium-v2/nd11_ns0p5_nonlinear/seed_1/metrics.json
raw_noisy,hopper-medium-v2,11,0.5,nonlinear,3,46.0598127563519,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/hopper-medium-v2/nd11_ns0p5_nonlinear/seed_3/metrics.json
raw_noisy,hopper-medium-v2,11,0.5,nonlinear,2,37.6540787272758,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/hopper-medium-v2/nd11_ns0p5_nonlinear/seed_2/metrics.json
raw_noisy,hopper-medium-v2,8,1.5,nonlinear,1,40.28946469315241,/home/wyuhan/projects/robust-offline-rl-disentanglement/results/raw_metrics/raw_noisy/hopper-medium-v2/nd8_ns1p5_nonlinear/seed_1/metrics.json
