Rank,Method,Global Mean (%),Hard Mean (%),Retention (%),Win Rate (%),Composite
1,HSIC,88.3316335402658,71.16794418822467,75.6027227884109,75.0,77.77881508564056
2,Barlow,86.34332156282619,69.64991864320692,75.18796784307891,68.75,75.63056156258605
3,dCor,84.48118393406675,64.57882230849876,71.96153915375582,50.0,69.83925081894576
4,Covariance,84.1892856074566,61.421866253285,70.0459508842525,50.0,68.26362904773723
5,InfoNCE,83.58330847863792,61.53961386771003,73.72963589722146,43.75,67.92228457673417
6,L1,81.53714288025394,59.46615183671716,62.381424924913894,37.5,63.37558099190997
—,Plain Encoder,82.75710763126509,62.616885636919726,63.00916957377585,6.25,60.2823761770566
—,Raw Noisy,75.30696654797443,51.35884337596599,57.609010954745656,0.0,52.08948733692955
